Term	POS1	POS2	POS3	POS4	Subjectivity1	Subjectivity2	Subjectivity3	Subjectivity4	Polarity1	Polarity2	Polarity3	Polarity4	Anger1	Anger2	Anger3	Anger4	Disgust1	Disgust2	Disgust3	Disgust4	Fear1	Fear2	Fear3	Fear4	Happiness1	Happiness2	Happiness3	Happiness4	Sadness1	Sadness2	Sadness3	Sadness4	Surprise1	Surprise2	Surprise3	Surprise4	Aditional1	Aditional2	Aditional3	Aditional4	Comments1	Comments2	Comments3	Comments4	
κάργια	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	4	3	4	2	4	3	1	1	1	1	1	1	1	1	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρδιά	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	4	N/A	1	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	should be studied in contexts	N/A	N/A	
καρδιο-	N/A	N/A	OTHER	N/A	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	1	N/A	3	N/A	2	N/A	4	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρδιοχτυπώ	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	POS	NEG	BOTH	1	1	1	1	1	1	2	1	4	1	1	4	1	5	1	1	1	1	1	2	3	1	4	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρδούλα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	2	5	2	1	1	1	1	5	1	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρέκλα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	1	N/A	2	N/A	2	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρέκλα	N/A	NOUN	NOUN	NOUN	N/A	OBJ	SUBJ-	OBJ	N/A	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρεκλάκι	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρεκλίτσα	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρεκλοκένταυρος	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	3	1	3	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρεκλοκένταυρος	N/A	NOUN	NOUN	NOUN	N/A	SUBJ+	SUBJ+	SUBJ+	N/A	NEG	NEG	NEG	N/A	1	3	3	N/A	3	3	2	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καριερίστας	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	OBJ	NEG	NEG	NEG	N/A	2	1	3	N/A	3	3	3	N/A	2	1	2	N/A	1	1	1	N/A	1	1	1	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καριόλης	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	4	5	5	3	4	4	5	1	1	2	1	1	1	1	1	1	1	1	2	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καριόλης	N/A	NOUN	NOUN	NOUN	N/A	SUBJ+	SUBJ+	SUBJ+	N/A	NEG	NEG	NEG	N/A	4	5	5	N/A	4	4	5	N/A	1	2	1	N/A	1	1	1	N/A	1	1	2	N/A	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρκαλέτσος	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	NEG	NEG	NEG	2	1	4	1	4	2	4	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρκινιάρης	NOUN	ADJ	NOUN	NOUN	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	5	3	4	2	4	4	2	1	2	1	1	1	1	1	1	1	1	2	3	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρκινοφοβία	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ-	OBJ	NEG	NEG	NEG	N/A	1	3	1	N/A	3	1	4	N/A	5	1	3	N/A	1	1	1	N/A	1	1	1	N/A	4	1	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κάρο	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	3	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρόδρομος	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	2	N/A	3	2	3	N/A	3	2	1	N/A	2	1	1	N/A	1	1	1	N/A	1	2	3	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρπαζοεισπράκτορας	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	3	2	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	2	4	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρπαζοεισπράχτορας	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	3	2	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	2	4	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρπουζοκέφαλος	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	3	2	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	4	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρπουζοκέφαλος	N/A	NOUN	NOUN	NOUN	N/A	SUBJ+	SUBJ-	SUBJ+	N/A	NEG	NEG	NEG	N/A	1	3	2	N/A	2	3	2	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κάρφωμα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	3	1	3	N/A	3	2	3	N/A	3	1	2	N/A	1	1	1	N/A	1	1	1	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καρφώνω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	3	1	3	N/A	3	2	3	N/A	3	1	2	N/A	1	1	1	N/A	1	1	1	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κάστα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	3	1	3	N/A	4	2	3	N/A	2	1	2	N/A	1	1	1	N/A	1	1	1	N/A	4	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καταβόθρα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	4	1	4	N/A	4	2	4	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	4	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καταδικός	NOUN	PRON	NOUN	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	BOTH	3	N/A	3	1	3	N/A	3	1	1	N/A	3	1	1	N/A	1	1	2	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατάθεση	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατακαίω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	BOTH	NEG	NEG	3	5	3	2	4	1	2	1	3	1	3	2	1	5	1	1	1	5	1	4	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατάκαρδα	ADV	ADV	ADV	ADV	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	1	N/A	1	2	1	N/A	2	1	2	N/A	1	2	1	N/A	1	1	5	N/A	1	4	1	N/A	4	1	N/A	N/A	N/A	N/A	N/A	intensifier	N/A	N/A	
κατακρεουργώ	VERB	VERB	VERB	VERB	SUBJ+	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	3	2	2	3	5	3	3	4	1	3	1	1	1	1	1	4	1	1	2	1	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατάκτηση	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	POS	NEG	N/A	1	1	1	N/A	2	1	2	N/A	2	1	2	N/A	1	3	1	N/A	1	1	1	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	joy is not the exact sentiment, it's mostly admiration, liking someone	N/A	N/A	
κατακτώ	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	POS	NEG	N/A	1	1	1	N/A	2	1	2	N/A	2	1	2	N/A	1	3	1	N/A	1	1	1	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	joy is not the exact sentiment, it's mostly admiration, liking someone	N/A	N/A	
κατακυριεύω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	OBJ	NEG	POS	NEG	N/A	3	1	1	N/A	1	1	2	N/A	3	1	2	N/A	2	3	1	N/A	2	1	1	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	joy is not the exact sentiment, it's mostly admiration, liking someone	N/A	N/A	
καταλαβαίνω	VERB	VERB	VERB	VERB	OBJ	SUBJ-	OBJ	SUBJ+	N/A	POS	N/A	BOTH	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	4	4	N/A	1	1	1	N/A	1	2	1	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καταλαμβάνω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	1	N/A	1	N/A	2	N/A	3	N/A	2	N/A	4	N/A	1	N/A	4	N/A	1	N/A	1	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατάνυξη	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	4	1	1	1	1	1	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καταξοδεύω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	1	N/A	1	2	1	N/A	2	1	1	N/A	1	1	5	N/A	1	1	1	N/A	1	2	1	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καταπίνω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	2	N/A	2	N/A	1	N/A	2	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	can act as a mitigator	N/A	N/A	
καταπνίγω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	5	N/A	2	N/A	3	N/A	2	N/A	4	N/A	3	N/A	1	N/A	1	N/A	4	N/A	1	N/A	3	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	can act as a mitigator	N/A	N/A	
κατάπνιξη	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	5	N/A	2	N/A	3	N/A	2	N/A	3	N/A	3	N/A	1	N/A	1	N/A	4	N/A	1	N/A	3	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	can act as a mitigator	N/A	N/A	
καταπράυνση	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	POS	4	N/A	1	1	2	N/A	1	1	1	N/A	1	1	4	N/A	3	3	1	N/A	1	2	1	N/A	4	1	N/A	N/A	N/A	N/A	N/A	always a mitigator	N/A	N/A	
κατασβήνω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	4	N/A	1	N/A	4	N/A	1	N/A	2	N/A	1	N/A	4	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	can act as a mitigator	N/A	N/A	
κατασιγάζω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ-	N/A	N/A	NEG	BOTH	4	N/A	1	1	4	N/A	1	1	1	N/A	1	1	3	N/A	1	1	1	N/A	1	1	3	N/A	4	1	N/A	N/A	N/A	N/A	N/A	can act as a mitigator	N/A	N/A	
κατασκευάζω	VERB	VERB	VERB	VERB	SUBJ+	OBJ	OBJ	OBJ	POS	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	1	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατασκεύασμα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	2	N/A	2	N/A	3	N/A	3	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατασκευή	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατάσκοπος	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	3	N/A	2	N/A	3	N/A	4	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατασταλάζω	VERB	VERB	VERB	VERB	SUBJ+	OBJ	OBJ	OBJ	POS	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	can accompany a sentiment	N/A	N/A	
κατάστιχο	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	3	N/A	3	3	2	N/A	3	2	2	N/A	1	1	1	N/A	1	1	1	N/A	1	2	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατατρομάζω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	3	1	1	3	2	1	1	1	5	5	5	4	1	1	1	1	1	1	1	1	5	1	4	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καταϋποχρεώνω	VERB	VERB	VERB	VERB	SUBJ+	SUBJ+	SUBJ-	SUBJ+	BOTH	NEG	NEG	BOTH	1	1	1	2	2	2	2	1	1	1	1	1	3	1	1	3	1	2	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: disconfort	N/A	N/A	
καταφέρνω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ-	OBJ	SUBJ-	POS	POS	N/A	POS	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	5	3	N/A	2	1	1	N/A	1	3	1	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καταχαρούμενος -η -ο	PART	PART	PART	PART	SUBJ-	SUBJ+	SUBJ-	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	5	4	4	1	1	1	1	4	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατάψυξη	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	SUBJ-	OBJ	N/A	N/A	NEG	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατεβάζω	VERB	VERB	VERB	VERB	SUBJ+	OBJ	OBJ	OBJ	BOTH	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	can express sentiment in frozen expressions	N/A	N/A	
κατεργάρης	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	2	N/A	3	1	3	N/A	3	2	2	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατευνάζω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	3	2	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	always a mitigator	N/A	N/A	
κατέχω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	BOTH	N/A	NEG	N/A	1	N/A	1	N/A	2	N/A	1	N/A	3	N/A	1	N/A	3	N/A	1	N/A	2	N/A	1	N/A	1	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κάτι	PRON	PRON	PRON	PRON	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατίνα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	4	2	3	3	4	2	1	1	1	1	3	1	1	1	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατοικοεδρεύω	VERB	VERB	VERB	VERB	OBJ	OBJ	SUBJ-	OBJ	N/A	N/A	NEG	N/A	1	N/A	2	N/A	1	N/A	3	N/A	1	N/A	1	N/A	2	N/A	1	N/A	2	N/A	1	N/A	1	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατόρθωμα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	SUBJ+	BOTH	N/A	NEG	POS	3	N/A	2	1	1	N/A	2	1	2	N/A	1	1	4	N/A	1	3	1	N/A	1	1	5	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατουρλιάρης	NOUN	ADJ	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	3	1	3	2	4	3	1	2	3	2	2	1	1	1	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατουρώ	VERB	VERB	VERB	ADJ	SUBJ+	SUBJ-	SUBJ-	SUBJ-	BOTH	NEG	NEG	NEG	1	1	4	1	4	1	5	3	5	5	1	2	5	1	1	1	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατρουλιάρης	NOUN	ADJ	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	2	1	3	1	3	2	4	3	1	2	3	2	2	1	1	1	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατσικοκλέφτης	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ-	NEG	NEG	NEG	NEG	4	1	3	1	3	3	3	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατώτερος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	2	N/A	2	1	3	N/A	2	2	1	N/A	1	1	1	N/A	1	1	2	N/A	1	1	2	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατωτερότητα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	NEG	3	N/A	2	1	4	N/A	2	2	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κατώφλι	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	OBJ	OBJ	NEG	N/A	N/A	N/A	3	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καύλα	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	1	1	1	1	5	1	5	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: desire	N/A	N/A	
καυλί	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	BOTH	2	N/A	3	3	3	N/A	3	3	1	N/A	1	1	1	N/A	1	3	1	N/A	1	2	5	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καυλιάρης	NOUN	ADJ	NOUN	NOUN	SUBJ+	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	POS	3	N/A	4	1	3	N/A	3	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	5	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καυλιτζέκι	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ+	SUBJ-	NEG	N/A	NEG	BOTH	3	N/A	3	1	3	N/A	3	2	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	5	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καυλιτσέκι	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ+	SUBJ-	NEG	N/A	NEG	BOTH	3	N/A	3	1	3	N/A	3	2	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	5	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καυλώνω	VERB	VERB	VERB	VERB	SUBJ+	SUBJ+	SUBJ+	SUBJ+	BOTH	POS	NEG	POS	4	1	4	1	3	1	3	1	1	1	1	1	3	5	1	4	1	1	1	1	5	1	4	1	N/A	N/A	N/A	N/A	N/A	exact sentiment: desire	N/A	N/A	
καύσος	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	2	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
καφενόβιος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	3	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κάψιμο	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	3	N/A	2	1	3	N/A	2	2	3	N/A	3	1	1	N/A	1	1	1	N/A	1	1	3	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κειμήλιο	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	2	N/A	1	1	4	N/A	3	2	1	N/A	1	1	4	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
κεκές	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	3	N/A	2	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	2	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
